Modern Venus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong(west),,,,Sup conj,greatest elong (east),first station,inf conj,second station,greatest elong(west),Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong (west),,,,,greatest elongations,,,Sup conj,greatest elong (east),first station,inf conj,second station,greatest elong(west),Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong (west),,,,,greatest elong(west),Sup conj,greatest elong (east),first station,inf conj,second station,greatest elong(west),Sup conj,,,,greatest elong (east),,,,first station,,,,inf conj,,,,second station,,,,greatest elong (west),,,,,,,,,
-785,6,29,18.51343,-784,2,4,18.17619,-784,3,24,4.70537,-784,4,15,9.15179,-784,5,6,4.87311,-784,6,28,16.01088,1434516.18829,1434736.17424,1434784.61296,1434806.79822,1434827.61994,1434881.08402,89.18711,89.18711,88.06853,89.18711,354.09724,306.01546,307.9462,306.01546,24.43137,353.7589,355.52719,353.7589,15.62573,15.62573,16.89812,15.62573,7.79303,36.14859,36.79778,36.14859,42.10116,88.84526,87.7372,88.84526,,48.08177999999998,-46.744099999999996,,1434516.18829,1434736.17424,1434784.61296,1434806.79822,1434827.61994,1434881.08402,89.18711,89.18711,88.06853,89.18711,354.09724,306.01546,307.9462,306.01546,24.43137,353.7589,355.52719,353.7589,15.62573,15.62573,16.89812,15.62573,7.79303,36.14859,36.79778,36.14859,42.10116,88.84526,87.7372,88.84526,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1083399817350967e-05,-2.2750001564625366e-05,-2.6916738763455017e-05,-1.9416565239432915e-05,-1.7749963492158516e-05,-2.399983645975934e-05
-783,1,27,15.64398,-783,9,10,11.50845,-783,10,30,3.48657,-783,11,19,12.88715,-783,12,9,22.74196,-782,1,27,10.84681,1435094.06873,1435319.89642,1435369.56217,1435389.95386,1435410.36448,1435458.86885,298.77287,298.77287,300.6061,298.77287,206.32597,161.35911,159.38733,161.35911,238.04382,210.31198,209.42622,210.31198,230.41096,230.41097,230.22518,230.41097,222.76869,250.52863,251.06946,250.52863,253.64577,298.33678,300.16423,298.33678,,44.966860000000025,-44.69100999999998,,1435094.06873,1435319.89642,1435369.56217,1435389.95386,1435410.36448,1435458.86885,298.77287,298.77287,300.6061,298.77287,206.32597,161.35911,159.38733,161.35911,238.04382,210.31198,209.42622,210.31198,230.41096,230.41097,230.22518,230.41097,222.76869,250.52863,251.06946,250.52863,253.64577,298.33678,300.16423,298.33678,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.149993383884774e-05,-2.5249904185536964e-05,-2.0250098943713768e-05,-1.9416565239432915e-05,-2.233323471248494e-05,-2.3583302438262566e-05
-782,9,9,21.34735,-781,4,11,8.42214,-781,6,2,17.13898,-781,6,23,13.87134,-781,7,15,18.82331,-781,9,3,7.41537,1435684.30637,1435897.76782,1435950.13102,1435970.99487,1435993.2012,1436042.72587,160.53846,160.53846,158.55603,160.53846,57.48168,10.93596,12.33878,10.93596,90.83445,62.54756,62.29872,62.54756,83.11193,83.11194,82.18335,83.11194,74.49047,104.99953,103.46754,104.99953,105.47648,153.81334,151.78411,153.81334,,46.545719999999996,-48.336860000000016,,1435684.30637,1435897.76782,1435950.13102,1435970.99487,1435993.2012,1436042.72587,160.53846,160.53846,158.55603,160.53846,57.48168,10.93596,12.33878,10.93596,90.83445,62.54756,62.29872,62.54756,83.11193,83.11194,82.18335,83.11194,74.49047,104.99953,103.46754,104.99953,105.47648,153.81334,151.78411,153.81334,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1083166986707313e-05,-2.149993383884774e-05,-1.983333209157334e-05,-2.1500166669491394e-05,-1.9416565239432915e-05,-2.0249866113070114e-05
-780,4,11,2.62555,-780,11,26,6.66107,-779,1,11,1.54465,-779,2,2,6.29297,-779,2,21,21.48609,-779,4,15,21.37091,1436263.5263,1436492.69444,1436538.48126,1436560.67911,1436580.31215,1436633.30735,11.44447,11.44448,12.83682,11.44448,284.60312,237.32323,237.3834,237.32323,313.27959,282.45284,283.96177,282.45284,304.33206,304.33206,306.24605,304.33206,297.07586,323.68331,325.71653,323.68331,331.28998,15.91783,17.18792,15.91783,,47.279889999999995,-44.62784999999997,,1436263.5263,1436492.69444,1436538.48126,1436560.67911,1436580.31215,1436633.30735,11.44447,11.44448,12.83682,11.44448,284.60312,237.32323,237.3834,237.32323,313.27959,282.45284,283.96177,282.45284,304.33206,304.33206,306.24605,304.33206,297.07586,323.68331,325.71653,323.68331,331.28998,15.91783,17.18792,15.91783,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6083437889817818e-05,-1.9416565239432915e-05,-2.3583302438262566e-05,-2.6916505932811363e-05,-2.0249866113070114e-05,-1.9416565239432915e-05
-779,11,17,7.66351,-778,6,21,9.76473,-778,8,13,19.43413,-778,9,2,11.09308,-778,9,24,17.99084,-778,11,9,13.50691,1436848.73621,1437064.82376,1437118.22665,1437137.87911,1437160.16652,1437205.97969,228.25451,228.25451,227.98274,228.25451,126.00307,81.24042,80.37163,81.24042,160.26124,133.87678,131.88794,133.87678,153.24714,153.24716,151.21614,153.24716,144.55154,175.21466,173.41889,175.21466,173.0335,220.37024,219.81786,220.37024,,44.762649999999994,-47.33673999999999,,1436848.73621,1437064.82376,1437118.22665,1437137.87911,1437160.16652,1437205.97969,228.25451,228.25451,227.98274,228.25451,126.00307,81.24042,80.37163,81.24042,160.26124,133.87678,131.88794,133.87678,153.24714,153.24716,151.21614,153.24716,144.55154,175.21466,173.41889,175.21466,173.0335,220.37024,219.81786,220.37024,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1083399817350967e-05,-2.0250098943713768e-05,-1.858349719643937e-05,-2.2333467543128593e-05,-2.566667103767739e-05,-2.6083205059174164e-05
-777,6,27,6.7218,-776,2,2,15.88349,-776,3,21,21.38175,-776,4,13,2.77533,-776,5,3,21.44226,-776,6,26,9.48912,1437435.69697,1437656.07871,1437704.3078,1437726.53254,1437747.31033,1437800.81228,86.79025,86.79025,85.74554,86.79025,352.10749,304.00871,305.91071,304.00871,22.28198,351.54555,353.3496,351.54555,13.45127,13.45127,14.78474,13.45127,5.65084,33.93083,34.65896,33.93083,40.00054,86.66483,85.62533,86.66483,,48.09877999999998,-46.664289999999994,,1437435.69697,1437656.07871,1437704.3078,1437726.53254,1437747.31033,1437800.81228,86.79025,86.79025,85.74554,86.79025,352.10749,304.00871,305.91071,304.00871,22.28198,351.54555,353.3496,351.54555,13.45127,13.45127,14.78474,13.45127,5.65084,33.93083,34.65896,33.93083,40.00054,86.66483,85.62533,86.66483,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9000031217936142e-05,-2.1916700690988167e-05,-1.7749963492158516e-05,-2.5250137016180618e-05,-2.649997191131459e-05,-2.4000069290402992e-05
-775,1,25,7.57031,-775,9,7,18.44165,-775,10,27,14.92221,-775,11,16,23.40051,-775,12,7,10.17744,-774,1,24,18.80648,1438013.73233,1438239.1853,1438289.03866,1438309.39192,1438329.84096,1438378.2005,296.5287,296.52871,298.31806,296.52871,203.64398,158.74561,156.7426,158.74561,235.52304,207.88339,206.90325,207.88339,227.94451,227.94451,227.65519,227.94451,220.261,248.10003,248.53931,248.10003,251.00192,295.76544,297.53763,295.76544,,44.89837,-44.76352,,1438013.73233,1438239.1853,1438289.03866,1438309.39192,1438329.84096,1438378.2005,296.5287,296.52871,298.31806,296.52871,203.64398,158.74561,156.7426,158.74561,235.52304,207.88339,206.90325,207.88339,227.94451,227.94451,227.65519,227.94451,220.261,248.10003,248.53931,248.10003,251.00192,295.76544,297.53763,295.76544,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4416603311899765e-05,-2.1916700690988167e-05,-2.5250137016180618e-05,-2.2750001564625366e-05,-2.399983645975934e-05,-2.066663296521054e-05
-774,9,7,14.34485,-773,4,9,1.99645,-773,5,31,9.47122,-773,6,21,6.94336,-773,7,13,10.9704,-773,9,1,5.11233,1438604.0146,1438817.50008,1438869.81153,1438890.7062,1438912.874,1438962.62991,158.33829,158.33829,156.33264,158.33829,55.36807,8.75948,10.2101,8.75948,88.67543,60.32007,60.14618,60.32007,80.91483,80.91483,80.05189,80.91483,72.3097,102.76444,101.28176,102.76444,103.48517,151.80617,149.7657,151.80617,,46.60859000000001,-48.32100000000001,,1438604.0146,1438817.50008,1438869.81153,1438890.7062,1438912.874,1438962.62991,158.33829,158.33829,156.33264,158.33829,55.36807,8.75948,10.2101,8.75948,88.67543,60.32007,60.14618,60.32007,80.91483,80.91483,80.05189,80.91483,72.3097,102.76444,101.28176,102.76444,103.48517,151.80617,149.7657,151.80617,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1916700690988167e-05,-1.8583264365795715e-05,-1.983333209157334e-05,-1.733319664001809e-05,-2.4000069290402992e-05,-2.0249866113070114e-05
-772,4,8,14.98462,-772,11,23,19.56193,-771,1,8,17.27685,-771,1,30,20.27234,-771,2,19,11.68072,-771,4,13,10.49607,1439183.04126,1439412.23198,1439458.13677,1439480.26158,1439499.90359,1439552.85423,9.05381,9.05382,10.49721,9.05382,282.15093,234.95482,234.91611,234.95482,310.92649,280.20071,281.6406,280.20071,302.00794,302.00795,303.87718,302.00795,294.75054,321.36803,323.38576,321.36803,328.96574,13.55864,14.88647,13.55864,,47.196110000000004,-44.59290000000004,,1439183.04126,1439412.23198,1439458.13677,1439480.26158,1439499.90359,1439552.85423,9.05381,9.05382,10.49721,9.05382,282.15093,234.95482,234.91611,234.95482,310.92649,280.20071,281.6406,280.20071,302.00794,302.00795,303.87718,302.00795,294.75054,321.36803,323.38576,321.36803,328.96574,13.55864,14.88647,13.55864,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.483337016404019e-05,-2.3583302438262566e-05,-2.5249904185536964e-05,-2.316653558612214e-05,-1.7333429470661743e-05,-1.7749963492158516e-05
-771,11,15,1.95941,-770,6,18,23.05872,-770,8,11,8.37294,-770,8,31,0.53943,-770,9,22,8.55695,-770,11,7,3.6469,1439768.49854,1439984.37768,1440037.76577,1440057.43937,1440079.77344,1440125.56885,226.10766,226.10767,225.75127,226.10767,123.68373,78.88816,78.09178,78.88816,157.91508,131.50994,129.53588,131.50994,150.90114,150.90115,148.85801,150.90115,142.18724,172.91464,171.07705,172.91464,170.6317,218.05273,217.41384,218.05273,,44.79557,-47.42103,,1439768.49854,1439984.37768,1440037.76577,1440057.43937,1440079.77344,1440125.56885,226.10766,226.10767,225.75127,226.10767,123.68373,78.88816,78.09178,78.88816,157.91508,131.50994,129.53588,131.50994,150.90114,150.90115,148.85801,150.90115,142.18724,172.91464,171.07705,172.91464,170.6317,218.05273,217.41384,218.05273,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1916700690988167e-05,-2.399983645975934e-05,-2.149993383884774e-05,-1.7749963492158516e-05,-2.4416603311899765e-05,-1.983333209157334e-05
-769,6,24,18.94812,-768,1,31,12.98169,-768,3,19,13.68646,-768,4,10,20.36261,-768,5,1,13.50623,-768,6,24,1.61484,1440355.2064,1440575.9578,1440623.98717,1440646.26534,1440666.97966,1440720.48418,84.39414,84.39415,83.42249,84.39415,350.09475,301.97696,303.85468,301.97696,20.13053,349.31693,351.15739,349.31693,11.27533,11.27533,12.66893,11.27533,3.50267,31.69232,32.4964,31.69232,37.84211,84.42887,83.45975,84.42887,,48.11778999999996,-46.586760000000005,,1440355.2064,1440575.9578,1440623.98717,1440646.26534,1440666.97966,1440720.48418,84.39414,84.39415,83.42249,84.39415,350.09475,301.97696,303.85468,301.97696,20.13053,349.31693,351.15739,349.31693,11.27533,11.27533,12.66893,11.27533,3.50267,31.69232,32.4964,31.69232,37.84211,84.42887,83.45975,84.42887,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9000031217936142e-05,-2.0249866113070114e-05,-2.483337016404019e-05,-2.1916700690988167e-05,-2.4416603311899765e-05,-1.8999798387292488e-05
-767,1,22,22.784,-767,9,5,0.37031,-767,10,25,2.59046,-767,11,14,10.18011,-767,12,4,21.88531,-766,1,22,3.90392,1440933.36623,1441158.43233,1441208.52483,1441228.84107,1441249.32879,1441297.57956,294.25529,294.25529,296.00913,294.25529,200.93954,156.09087,154.07214,156.09087,233.02491,205.46437,204.40797,205.46437,225.48899,225.48899,225.11114,225.48899,217.76578,245.68263,246.0331,245.68263,248.41636,293.24084,294.97134,293.24084,,44.84867,-44.824479999999994,,1440933.36623,1441158.43233,1441208.52483,1441228.84107,1441249.32879,1441297.57956,294.25529,294.25529,296.00913,294.25529,200.93954,156.09087,154.07214,156.09087,233.02491,205.46437,204.40797,205.46437,225.48899,225.48899,225.11114,225.48899,217.76578,245.68263,246.0331,245.68263,248.41636,293.24084,294.97134,293.24084,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.066663296521054e-05,-2.4416603311899765e-05,-1.8166730344298943e-05,-2.2750001564625366e-05,-2.6083205059174164e-05,-2.066663296521054e-05
-766,9,5,5.94507,-765,4,6,20.96402,-765,5,29,1.86833,-765,6,19,0.1582,-765,7,11,3.62807,-765,8,30,2.39838,1441523.66461,1441737.2904,1441789.49475,1441810.42349,1441832.56807,1441882.51683,156.08074,156.08075,154.06661,156.08075,53.33023,6.64023,8.1551,6.64023,86.52888,58.09526,58.01351,58.09526,78.72359,78.7236,77.94194,78.7236,70.14323,100.55032,99.13231,100.55032,101.49139,149.78214,147.74398,149.78214,,46.69,-48.29075,,1441523.66461,1441737.2904,1441789.49475,1441810.42349,1441832.56807,1441882.51683,156.08074,156.08075,154.06661,156.08075,53.33023,6.64023,8.1551,6.64023,86.52888,58.09526,58.01351,58.09526,78.72359,78.7236,77.94194,78.7236,70.14323,100.55032,99.13231,100.55032,101.49139,149.78214,147.74398,149.78214,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2750001564625366e-05,-2.3166768416765793e-05,-2.6916738763455017e-05,-2.233323471248494e-05,-2.4416603311899765e-05,-2.1500166669491394e-05
